,Taxon ID,Taxon ID InfoSpecies,Taxon Name,Habitatkombination,Jura,Mittelland,habitat,Kollin,Montan,JU,BE,Priorität,Verantwortung,protection
18,17028,infofauna:17028,"Ecdyonurus alpinus Hefti, Tomka, Zurwerra, 1987",0,0,0,[1],B,A,0,0,3,3,[]
19,17029,infofauna:17029,"Ecdyonurus dispar (Curtis, 1834)",0,A,A,[1],A,A,A,B,4,1,[]
20,17031,infofauna:17031,"Ecdyonurus insignis (Eaton, 1870)",0,0,A,[1],A,0,B,0,1,2,[]
21,17032,infofauna:17032,"Ecdyonurus parahelveticus Hefti, Tomka, Zurwerra, 1986",0,0,B,[1],B,A,0,A,2,3,[]
22,17042,infofauna:17042,"Ephemera glaucops Pictet, 1843-1845",0,B,A,[1],A,0,B,0,1,2,[]
23,17043,infofauna:17043,"Ephemera lineata Eaton, 1870",0,0,A,[1],A,0,0,A,2,2,[]
24,17044,infofauna:17044,"Ephemera vulgata Linnaeus, 1758",0,A,A,[1],A,A,0,A,4,1,[]
25,17047,infofauna:17047,"Ephemerella notata Eaton, 1887",0,B,A,[1],A,B,0,0,1,2,[]
26,17048,infofauna:17048,"Ephoron virgo (Olivier, 1791)",0,0,D,[1],D,0,0,0,2,1,[]
27,17049,infofauna:17049,"Habroleptoides auberti (Biancheri, 1954)",0,A,A,[1],A,A,A,A,4,3,[]
28,17052,infofauna:17052,"Heptagenia coerulans Rostock, 1877",0,0,D,[1],D,0,0,0,2,1,[]
29,17053,infofauna:17053,"Heptagenia longicauda (Stephens, 1836)",0,0,C,[1],C,0,0,0,2,1,[]
30,17055,infofauna:17055,"Leptophlebia marginata (Linnaeus, 1767)",0,A,D,[1],A,A,0,0,2,2,[]
31,17056,infofauna:17056,"Leptophlebia vespertina (Linnaeus, 1758)",0,A,C,[1],A,A,0,0,1,2,[]
32,17057,infofauna:17057,"Oligoneuriella rhenana (Imhoff, 1852)",0,0,A,[1],A,A,0,A,1,2,[]
33,17061,infofauna:17061,"Procloeon bifidum (Bengtsson, 1912)",0,A,A,[1],A,A,A,0,3,1,[]
34,17062,infofauna:17062,"Procloeon pennulatum (Eaton, 1870)",0,A,A,[1],A,A,A,B,4,1,[]
35,17063,infofauna:17063,"Rhithrogena allobrogica Sowa & Degrange, 1987",0,0,A,[1],A,A,0,A,3,2,[]
36,17065,infofauna:17065,"Rhithrogena beskidensis Alba-Tercedor & Sowa, 1987",0,0,A,[1],A,A,0,A,4,1,[]
37,17067,infofauna:17067,Rhithrogena corcontica Sowa & Soldan 1986,0,0,0,[1],A,A,0,0,3,3,[]
38,17069,infofauna:17069,"Rhithrogena dorieri Sowa, 1971",0,0,A,[1],A,A,0,A,4,2,[]
39,17071,infofauna:17071,"Rhithrogena germanica Eaton, 1885",0,0,A,[1],A,B,0,D,1,3,[]
40,17076,infofauna:17076,"Rhithrogena landai Sowa & Soldan, 1984",0,0,A,[1],A,A,0,A,2,2,[]
41,17078,infofauna:17078,"Rhithrogena nivata (Eaton, 1871)",0,0,0,[1],0,A,0,A,3,3,[]
42,17083,infofauna:17083,"Siphlonurus aestivalis (Eaton, 1903)",0,A,A,[1],A,A,A,0,2,2,[]
43,17085,infofauna:17085,"Torleya major (Klapalek, 1905)",0,A,A,[1],A,A,A,A,4,1,[]
44,17087,infofauna:17087,"Habrophlebia fusca (Curtis, 1834)",0,B,A,[1],A,A,B,0,1,2,[]
45,17088,infofauna:17088,"Habrophlebia eldae Jacob & Sartori, 1984",0,0,0,[1],A,A,0,0,4,1,[]
46,17089,infofauna:17089,"Metreletus balcanicus (Ulmer, 1920)",0,A,0,[1],A,0,A,0,1,3,[]
47,17090,infofauna:17090,"Baetis pentaphlebodes Ujhelyi, 1966",0,0,A,[1],A,0,0,0,3,2,[]
48,17092,infofauna:17092,"Arthroplea congener Bengstsson, 1908",0,A,0,[1],A,0,1,0,1,2,[]
49,17153,infofauna:17153,"Calopteryx virgo meridionalis Sélys, 1853",1,0,0,"[1, 2]",A,A,0,0,4,1,['Geschützte Art NHV']
50,17161,infofauna:17161,"Lestes dryas Kirby, 1890",1,A,A,"[1, 2]",A,A,B,D,2,1,"['Waldzielart', 'Geschützte Art NHV']"
51,17165,infofauna:17165,"Lestes virens vestalis Rambur, 1842",1,A,A,"[1, 2]",A,A,0,C,2,1,[]
52,17167,infofauna:17167,"Sympecma paedisca (Brauer, 1877)",1,0,A,"[1, 2]",A,0,0,C,1,2,['Geschützte Art NHV']
53,17174,infofauna:17174,"Ceriagrion tenellum (De Villers, 1789)",0,A,A,[2],A,A,0,D,2,2,['Geschützte Art NHV']
54,17175,infofauna:17175,"Coenagrion hastulatum (Charpentier, 1825)",0,A,A,[2],A,A,A,A,4,2,[]
55,17176,infofauna:17176,"Coenagrion lunulatum (Charpentier, 1840)",99,0,B,[1],B,0,0,D,2,1,['Geschützte Art NHV']
56,17177,infofauna:17177,"Coenagrion mercuriale (Charpentier, 1840)",1,A,A,"[1, 2]",A,A,A,A,2,1,"['Landwirtschaftl. UZL-Art', 'Smaragd- Art', 'Geschützte Art NHV']"
57,17178,infofauna:17178,"Coenagrion ornatum (Sélys, 1850)",99,D,C,[1],C,D,0,C,2,1,[]
58,17187,infofauna:17187,"Nehalennia speciosa (Charpentier, 1840)",0,0,A,[2],A,0,0,D,1,2,['Geschützte Art NHV']
59,17191,infofauna:17191,"Aeshna caerulea (Ström, 1783)",1,0,0,"[1, 2]",0,A,0,A,3,2,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
60,17198,infofauna:17198,"Aeshna subarctica elisabethae Djakonov, 1922",1,A,0,"[1, 2, 6]",0,A,0,A,3,2,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
61,17202,infofauna:17202,"Boyeria irene (Fonscolombe, 1838)",1,0,A,[1],A,A,0,0,1,3,['Geschützte Art NHV']
62,17209,infofauna:17209,"Gomphus pulchellus Sélys, 1840",1,A,A,[1],A,A,A,A,4,1,[]
63,17210,infofauna:17210,"Gomphus simillimus Sélys, 1840",1,0,A,"[1, 3, 5]",A,0,0,D,2,1,['Geschützte Art NHV']
64,17214,infofauna:17214,"Onychogomphus forcipatus unguiculatus (Vander Linden, 1820)",1,0,0,"[1, 6]",A,0,0,0,3,1,['Geschützte Art NHV']
65,17216,infofauna:17216,"Onychogomphus uncatus (Charpentier, 1840)",99,D,C,[1],C,D,0,0,2,1,['Geschützte Art NHV']
66,17217,infofauna:17217,"Ophiogomphus cecilia (Fourcroy, 1785)",1,A,A,[1],A,A,B,A,2,2,"['Smaragd- Art', 'Geschützte Art NHV']"
67,17226,infofauna:17226,"Epitheca bimaculata (Charpentier, 1825)",1,A,A,"[1, 2]",A,A,A,A,1,2,['Geschützte Art NHV']
68,17227,infofauna:17227,"Oxygastra curtisii (Dale, 1834)",1,0,0,"[1, 6]",A,A,0,0,3,1,"['Smaragd- Art', 'Geschützte Art NHV']"
69,17229,infofauna:17229,"Somatochlora arctica (Zetterstedt, 1840)",1,A,A,"[1, 2, 6]",A,A,A,A,4,2,['Landwirtschaftl. UZL-Art']
70,17236,infofauna:17236,"Leucorrhinia albifrons (Burmeister, 1839)",1,D,A,[2],A,D,0,A,1,2,['Geschützte Art NHV']
71,17237,infofauna:17237,"Leucorrhinia caudalis (Charpentier, 1840)",0,0,A,[1],A,0,0,C,1,2,['Geschützte Art NHV']
72,17238,infofauna:17238,"Leucorrhinia dubia (Vander Linden, 1825)",1,A,A,"[1, 2, 6]",A,A,A,A,4,2,[]
73,17239,infofauna:17239,"Leucorrhinia pectoralis (Charpentier, 1825)",1,A,A,"[1, 2, 6]",A,A,A,A,1,2,"['Smaragd- Art', 'Geschützte Art NHV']"
74,17244,infofauna:17244,"Orthetrum albistylum (Sélys, 1848)",1,A,A,[1],A,A,A,A,3,1,[]
75,17249,infofauna:17249,"Sympetrum depressiusculum (Sélys, 1841)",1,B,A,"[1, 2]",A,A,B,A,3,2,['Geschützte Art NHV']
76,17250,infofauna:17250,"Sympetrum flaveolum (Linnaeus, 1758)",1,A,A,"[1, 2]",A,A,A,A,3,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
77,17253,infofauna:17253,"Sympetrum pedemontanum (Allioni, 1766)",1,A,A,"[1, 2]",A,A,A,A,2,1,[]
78,17301,infofauna:17301,"Brachyptera braueri (Klapalek, 1900)",0,0,D,[1],D,0,0,D,2,1,[]
79,17302,infofauna:17302,"Brachyptera monilicornis (Pictet, 1841)",0,0,D,[1],D,0,0,D,2,1,[]
80,17304,infofauna:17304,"Brachyptera seticornis (Klapalek, 1902)",0,0,A,[1],A,A,0,A,4,1,[]
81,17305,infofauna:17305,"Brachyptera trifasciata (Pictet, 1832)",0,0,D,[1],A,A,0,D,2,1,[]
82,17306,infofauna:17306,"Rhabdiopteryx alpina Kühtreiber, 1934",0,0,C,[1],A,A,0,A,4,2,[]
83,17308,infofauna:17308,"Taeniopteryx hubaulti Aubert, 1946",0,A,0,[1],A,A,0,A,4,1,[]
84,17310,infofauna:17310,"Taeniopteryx schoenemundi Mertens, 1923",0,0,C,[1],C,0,0,C,2,1,[]
85,17314,infofauna:17314,"Nemoura avicularis Morton, 1894",0,A,A,[1],A,A,D,A,3,1,[]
86,17317,infofauna:17317,"Nemoura dubitans Morton, 1894",0,A,A,[1],A,A,0,0,2,1,[]
87,17320,infofauna:17320,"Nemoura uncinata Despax, 1934",0,0,A,[1],A,A,0,A,3,1,[]
88,17324,infofauna:17324,"Nemoura obtusa Ris, 1902",0,A,A,[1],A,A,A,A,4,2,[]
89,17325,infofauna:17325,"Nemoura palliventris Aubert, 1953",0,0,0,[1],B,B,0,0,3,1,[]
90,17326,infofauna:17326,"Nemoura sciurus Aubert, 1949",0,0,B,[1],D,A,0,0,2,1,[]
91,17327,infofauna:17327,"Nemoura sinuata Ris, 1902",0,A,A,[1],A,A,0,A,4,2,[]
92,17328,infofauna:17328,"Nemoura undulata Ris, 1902",0,0,0,[1],0,0,0,0,1,2,[]
93,17330,infofauna:17330,"Protonemura algovia Mendl, 1968",0,0,0,[1],A,A,0,A,3,2,[]
94,17335,infofauna:17335,"Protonemura meyeri (Pictet, 1841)",0,A,B,[1],A,A,B,D,4,1,[]
95,17336,infofauna:17336,"Protonemura nimborella Mosely, 1930",0,0,0,[1],A,A,0,A,3,2,[]
96,17343,infofauna:17343,"Leuctra armata Kempny, 1899",0,0,0,[1],B,A,0,0,4,2,[]
97,17345,infofauna:17345,"Leuctra autumnalis Aubert, 1948",0,A,0,[1],A,A,A,A,4,1,[]
98,17349,infofauna:17349,"Leuctra dolasilla Consiglio, 1955",0,0,0,[1],A,A,0,0,3,2,[]
99,17350,infofauna:17350,"Leuctra elisabethae Ravizza, 1985",0,0,0,[1],A,A,0,0,2,2,[]
100,17351,infofauna:17351,"Leuctra festai Aubert, 1954",0,0,0,[1],0,0,0,0,4,3,[]
101,17355,infofauna:17355,"Leuctra helvetica Aubert, 1956",0,0,0,[1],A,A,0,0,2,2,[]
102,17356,infofauna:17356,"Leuctra hexacantha Despax, 1940",0,A,A,[1],A,A,A,0,4,1,[]
103,17359,infofauna:17359,"Leuctra insubrica Aubert, 1949",0,0,0,[1],A,A,0,0,2,3,[]
104,17362,infofauna:17362,"Leuctra meridionalis Aubert, 1951",0,0,0,[1],A,A,0,0,3,3,[]
105,17366,infofauna:17366,"Leuctra niveola Schmid, 1947",0,0,D,[1],C,A,0,A,4,1,[]
106,17369,infofauna:17369,"Leuctra pseudorosinae Aubert, 1954",0,B,0,[1],A,B,0,0,2,2,[]
107,17373,infofauna:17373,"Leuctra schmidi Aubert, 1946",0,0,0,[1],D,A,0,A,2,2,[]
108,17374,infofauna:17374,"Leuctra sesvenna Aubert, 1953",0,0,0,[1],0,D,0,0,1,3,[]
109,17375,infofauna:17375,"Leuctra subalpina Vinçon, Ravizza, Aubert, 1995",0,A,A,[1],A,A,A,A,4,2,[]
110,17377,infofauna:17377,"Leuctra vinconi aubertorum Ravizza & Ravizza Dematteis, 1994",0,0,0,[1],0,B,0,0,1,4,['Endemische Art']
111,17378,infofauna:17378,"Capnia bifrons (Newman, 1839)",0,A,A,[1],A,A,0,0,4,1,[]
112,17382,infofauna:17382,"Besdolus imhoffi Pictet, 1841",0,A,A,[1],A,A,A,A,3,1,[]
113,17385,infofauna:17385,"Besdolus ventralis (Pictet, 1841)",0,0,D,[1],D,0,0,0,2,1,[]
114,17386,infofauna:17386,"Isogenus nubecula Newman, 1833",0,0,D,[1],D,C,0,0,2,1,[]
115,17387,infofauna:17387,"Isoperla carbonaria Aubert, 1953",0,0,0,[1],A,A,0,0,4,2,[]
116,17389,infofauna:17389,"Isoperla lugens (Klapalek, 1923)",0,0,0,[1],0,D,0,0,1,2,[]
117,17390,infofauna:17390,"Isoperla obscura (Zetterstedt, 1840)",0,0,D,[1],A,A,0,D,3,1,[]
118,17391,infofauna:17391,"Isoperla orobica Ravizza, 1975",0,0,0,[1],A,B,0,0,1,3,[]
119,17392,infofauna:17392,"Isoperla oxylepis (Despax, 1936)",0,B,0,[1],B,A,0,0,3,1,[]
120,17395,infofauna:17395,"Perlodes dispar (Rambur, 1842)",0,0,A,[1],A,0,0,0,3,1,[]
121,17397,infofauna:17397,"Perlodes jurassicus Aubert, 1946",0,A,B,[1],A,A,A,A,3,3,[]
122,17400,infofauna:17400,"Dinocras ferreri (Pictet, 1841)",0,0,0,[1],A,A,0,0,2,2,[]
123,17401,infofauna:17401,"Dinocras megacephala (Klapalek, 1907)",0,A,B,[1],A,A,A,B,4,1,[]
124,17403,infofauna:17403,"Perla abdominalis Burmeister, 1839",0,0,A,[1],A,C,0,0,2,1,[]
125,17411,infofauna:17411,"Xanthoperla apicalis (Newman, 1836)",0,0,D,[1],D,0,0,D,2,1,[]
126,17412,infofauna:17412,"Leuctra zwicki Ravizza & Vinçon, 1991",0,D,C,[1],C,D,0,0,1,3,[]
127,17413,infofauna:17413,"Leuctra ameliae Vinçon & Ravizza, 1996",0,0,0,[1],0,A,0,0,2,2,[]
128,17414,infofauna:17414,"Leuctra ravizzai Ravizza, Dematteis & Vinçon, 1994",0,0,0,[1],0,0,0,0,1,3,[]
129,17415,infofauna:17415,"Taeniopteryx nebulosa (Linnaeus, 1758)",0,0,D,[1],D,0,0,0,2,1,[]
130,17416,infofauna:17416,"Nemoura pesarinii Ravizza & Ravizza-Dematteis, 1979",0,0,0,[1],0,A,0,0,4,3,[]
131,17417,infofauna:17417,"Rhabdiopteryx harperi Vinçon & Muranyi, 2008",0,0,0,[1],0,A,0,A,3,2,[]
132,17640,infofauna:17640,"Anonconotus alpinus (Yersin, 1858)",0,0,0,"[4, 5]",0,A,0,A,3,2,['Landwirtschaftl. UZL-Art']
133,17642,infofauna:17642,"Antaxius difformis (Brunner von Wattenwyl, 1861)",1,0,0,"[3, 4, 5]",0,A,0,0,4,2,[]
134,17646,infofauna:17646,"Conocephalus fuscus (Fabricius, 1793)",0,A,A,"[2, 4, 7]",A,A,A,A,4,1,['Landwirtschaftl. UZL-Art']
135,17647,infofauna:17647,"Conocephalus dorsalis (Latreille, 1804)",0,A,A,[2],A,0,A,A,2,2,[]
136,17651,infofauna:17651,"Ephippiger ephippiger diurnus Dufour, 1841",1,A,A,"[4, 5]",A,A,A,A,2,2,['Geschützte Art NHV']
137,17652,infofauna:17652,"Ephippiger terrestris bormansi Brunner von Wattenwyl, 1882",1,0,0,"[4, 5]",B,A,0,0,4,2,['Landwirtschaftl. UZL-Art']
138,17653,infofauna:17653,"Ephippiger vicheti Harz, 1966",1,0,0,"[4, 5]",A,A,0,0,4,1,['Landwirtschaftl. UZL-Art']
139,17661,infofauna:17661,"Metrioptera bicolor (Philippi, 1830)",0,A,A,[4],A,A,A,A,4,1,['Landwirtschaftl. UZL-Art']
140,17669,infofauna:17669,"Pachytrachis striolatus (Fieber, 1853)",0,0,0,"[4, 5]",A,C,0,0,2,1,"['Waldzielart', 'Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
141,17670,infofauna:17670,"Phaneroptera falcata (Poda, 1761)",1,A,A,"[4, 5, 7]",A,A,A,A,4,1,['Landwirtschaftl. UZL-Art']
142,17675,infofauna:17675,"Pholidoptera littoralis insubrica Nadig, 1961",0,0,0,[4],A,A,0,0,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
143,17678,infofauna:17678,"Platycleis tessellata (Charpentier, 1825)",99,0,A,[4],A,0,0,0,2,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
144,17681,infofauna:17681,"Saga pedo (Pallas, 1771)",1,0,0,"[4, 5]",A,A,0,0,1,2,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
145,17683,infofauna:17683,"Tettigonia caudata (Charpentier, 1845)",1,0,0,"[4, 5, 7, 8]",0,A,0,0,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
146,17693,infofauna:17693,"Melanogryllus desertus (Pallas, 1771)",99,0,0,[],C,0,0,0,2,1,[]
147,17697,infofauna:17697,"Pteronemobius heydenii (Fischer, 1853)",0,A,A,"[2, 4]",A,A,A,A,4,1,['Landwirtschaftl. UZL-Art']
148,17699,infofauna:17699,"Pteronemobius lineolatus (Brullé, 1835)",0,0,0,[3],A,0,0,0,2,1,[]
149,17703,infofauna:17703,"Xya variegata Latreille, 1809",99,0,D,[3],D,0,0,0,2,1,[]
150,17708,infofauna:17708,"Tetrix ceperoi Bolívar, 1887",0,0,A,"[2, 3]",A,A,0,A,3,1,[]
151,17709,infofauna:17709,"Uvarovitettix depressus (Brisout de Barneville, 1849)",0,0,0,"[4, 7]",A,A,0,0,4,1,[]
152,17714,infofauna:17714,"Tetrix tuerki (Krauss, 1876)",0,0,A,[3],A,A,0,A,1,2,[]
153,17719,infofauna:17719,"Calliptamus barbarus (Costa, 1836)",1,A,0,"[3, 4]",A,A,0,A,2,2,[]
154,17720,infofauna:17720,"Calliptamus italicus (Linnaeus, 1758)",1,A,A,"[3, 4, 7, 8]",A,A,A,D,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
155,17721,infofauna:17721,"Calliptamus siciliae Ramme, 1927",1,0,0,"[3, 4, 8]",A,A,0,0,3,1,['Geschützte Art NHV']
156,17730,infofauna:17730,"Aeropedellus variegatus (Fischer von Waldheim, 1846)",0,0,0,"[4, 5]",0,0,0,0,4,2,[]
157,17733,infofauna:17733,"Aiolopus thalassinus (Fabricius, 1781)",0,0,A,"[3, 4, 7, 8]",A,A,0,0,3,1,['Geschützte Art NHV']
158,17734,infofauna:17734,"Arcyptera fusca (Pallas, 1773)",0,0,D,[4],A,A,0,A,4,1,['Landwirtschaftl. UZL-Art']
159,17737,infofauna:17737,"Bryodemella tuberculata (Fabricius, 1775)",0,0,0,[3],0,C,0,0,2,1,[]
160,17746,infofauna:17746,"Chorthippus montanus (Charpentier, 1825)",0,A,A,[2],A,A,A,A,4,1,['Landwirtschaftl. UZL-Art']
161,17749,infofauna:17749,"Chorthippus pullus (Philippi, 1830)",0,0,A,"[3, 4]",A,A,0,A,1,2,[]
162,17757,infofauna:17757,"Podismopsis keisti (Nadig, 1989)",0,0,0,"[4, 5]",0,0,0,0,1,4,"['Endemische Art', 'Geschützte Art NHV']"
163,17759,infofauna:17759,"Epacromius tergestinus (Charpentier, 1825)",0,0,D,[3],A,C,0,0,1,2,['Geschützte Art NHV']
164,17760,infofauna:17760,"Euchorthippus declivus (Brisout de Barneville, 1848)",0,A,A,"[4, 7]",A,A,0,0,4,1,['Landwirtschaftl. UZL-Art']
165,17762,infofauna:17762,"Locusta migratoria cinerascens (Fabricius, 1781)",99,D,D,[3],A,A,0,C,2,1,['Geschützte Art NHV']
166,17764,infofauna:17764,"Myrmeleotettix maculatus (Thunberg, 1815)",0,A,A,"[4, 5]",A,A,A,A,3,1,['Landwirtschaftl. UZL-Art']
167,17765,infofauna:17765,"Oedaleus decorus (Germar, 1826)",1,0,0,[4],A,A,0,0,1,2,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
168,17767,infofauna:17767,"Oedipoda germanica (Latreille, 1804)",1,A,A,"[3, 4, 7, 8]",A,A,0,A,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
169,17774,infofauna:17774,"Psophus stridulus (Linnaeus, 1758)",1,A,C,"[3, 4, 5]",A,A,A,A,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
170,17775,infofauna:17775,"Sphingonotus caerulans (Linnaeus, 1767)",0,A,A,"[3, 4, 7]",A,A,A,A,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
171,17778,infofauna:17778,"Stenobothrus nigromaculatus (Herrich-Schäffer, 1840)",0,0,0,"[4, 5]",A,A,0,0,4,1,['Landwirtschaftl. UZL-Art']
172,17780,infofauna:17780,"Stenobothrus stigmaticus (Rambur, 1838)",0,A,0,"[4, 5]",B,A,A,0,2,1,['Landwirtschaftl. UZL-Art']
173,17781,infofauna:17781,"Stethophyma grossum (Linnaeus, 1758)",0,A,A,[2],A,A,A,A,4,1,"['Landwirtschaftl. UZL-Art', 'Geschützte Art NHV']"
174,18000,infofauna:18000,"Calosoma maderae (Fabricius, 1775)",0,0,0,[4],A,D,0,0,4,2,[]
175,18001,infofauna:18001,"Cicindela sylvatica Linnaeus, 1758",0,D,0,[6],D,D,0,0,2,1,[]
176,18006,infofauna:18006,"Cylindera germanica (Linnaeus, 1758)",0,B,A,"[2, 8]",A,0,0,A,3,1,[]
177,18007,infofauna:18007,"Cylindera arenaria (Fuessly, 1775)",0,0,C,[3],C,0,0,0,1,2,[]
178,18008,infofauna:18008,"Lophyra flexuosa (Fabricius, 1787)",0,0,C,[3],C,0,0,0,2,1,[]
179,18009,infofauna:18009,"Calosoma inquisitor (Linnaeus, 1758)",0,A,A,[6],A,A,A,D,3,1,['Geschützte Art NHV']
180,18010,infofauna:18010,"Calosoma sycophanta (Linnaeus, 1758)",0,A,A,[6],A,A,0,A,3,1,['Geschützte Art NHV']
181,18015,infofauna:18015,"Carabus creutzeri kircheri Germar, 1838",0,0,0,[4],0,0,0,0,2,1,['Geschützte Art NHV']
182,18025,infofauna:18025,"Carabus convexus convexus Fabricius, 1775",0,B,A,"[4, 6]",A,A,B,A,4,1,[]
183,18026,infofauna:18026,"Carabus nodulosus Creutzer, 1799",0,0,D,[],D,0,0,0,2,1,[]
184,18041,infofauna:18041,"Cychrus angustatus Hoppe & Hornschuch, 1825",0,0,0,[6],0,0,0,0,4,2,[]
185,18045,infofauna:18045,"Cychrus cordicollis Chaudoir, 1835",1,0,0,[4],0,0,0,0,4,2,['Geschützte Art NHV']
186,18046,infofauna:18046,"Leistus spinibarbis (Fabricius, 1775)",0,A,B,"[7, 8]",A,A,0,B,4,1,[]
187,18050,infofauna:18050,"Leistus terminatus (Panzer, 1793)",0,A,D,[2],0,A,B,B,2,1,[]
188,18053,infofauna:18053,"Nebria livida (Linnaeus, 1758)",0,0,A,[3],A,0,0,0,2,1,[]
189,18054,infofauna:18054,"Nebria psammodes (P. Rossi, 1792)",0,0,0,[3],A,B,0,0,4,1,[]
190,18061,infofauna:18061,"Nebria crenatostriata Bassi, 1834",0,0,0,[2],0,D,0,0,1,3,['Geschützte Art NHV']
191,18074,infofauna:18074,"Notiophilus germinyi Fauvel, 1863",1,A,B,[5],B,0,0,C,3,1,[]
192,18075,infofauna:18075,"Notiophilus substriatus G.R. Waterhouse, 1833",0,0,C,[2],A,0,0,0,2,1,[]
193,18078,infofauna:18078,"Omophron limbatum (Fabricius, 1777)",0,D,A,[3],A,0,0,D,3,1,[]
194,18079,infofauna:18079,"Blethisa multipunctata (Linnaeus, 1758)",0,B,0,[2],0,B,0,0,2,1,[]
195,18080,infofauna:18080,"Elaphrus uliginosus Fabricius, 1775",0,B,A,[2],A,0,B,C,2,1,[]
196,18081,infofauna:18081,"Elaphrus cupreus Duftschmid, 1812",1,A,A,"[2, 4, 6]",A,A,A,A,3,1,[]
197,18082,infofauna:18082,"Elaphrus riparius (Linnaeus, 1758)",0,A,A,[2],A,0,A,A,3,1,[]
198,18083,infofauna:18083,"Elaphrus aureus P. Müller, 1821",1,A,A,"[2, 6]",A,A,A,A,4,1,[]
199,18087,infofauna:18087,"Dyschirius thoracicus (P. Rossi, 1790)",99,0,D,[3],D,0,0,0,2,1,[]
200,18090,infofauna:18090,"Dyschirius politus (Dejean, 1825)",0,0,C,[2],C,0,0,D,2,1,[]
201,18093,infofauna:18093,"Dyschirius intermedius Putzeys, 1846",0,0,A,"[2, 3]",A,0,0,A,4,1,[]
202,18095,infofauna:18095,"Dyschirius substriatus (Duftschmid, 1812)",0,0,C,[3],B,0,0,D,3,1,[]
203,18096,infofauna:18096,"Dyschirius laeviusculus Putzeys, 1846",0,0,A,[2],A,0,0,C,3,1,[]
204,18097,infofauna:18097,"Dyschirius angustatus (Ahrens, 1830)",0,0,A,[3],A,D,0,B,3,1,[]
205,18104,infofauna:18104,"Dyschirius minutus (Dejean, 1825)",0,0,C,[3],C,0,0,0,2,1,[]
206,18106,infofauna:18106,"Miscodera arctica (Paykull, 1798)",0,0,0,[2],0,0,0,0,1,2,[]
207,18110,infofauna:18110,"Trechus rubens (Fabricius, 1792)",0,A,A,[2],B,0,0,A,3,1,[]
